Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Dustin Saenz,0.0,0,0,0,0.0,9999,0.0,FA,-0.0487506408872961
Free Agent,Brent Headrick,3.33,101,0,8,1.11,604,0.0,FA,-2.46
Free Agent,Anyelo Gomez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dalbert Siri,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Minnick,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Josh Grosz,0.0,0,0,0,0.0,9999,0.0,FA,-4.71395139657218
Free Agent,Zach Neal,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Giovanny Gallegos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Derek Diamond,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jason Blanchard,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Touki Toussaint,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Cusick,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brandon Young,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brian Clark,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kevin McCanna,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Angel German,0.0,0,0,0,0.0,9999,0.0,FA,-0.0488465563847393
Free Agent,Alexis Rivero,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jaime Barria,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Elvis Peguero,0.0,0,0,0,0.0,9999,0.0,FA,-8.58917269932372
Free Agent,Michael Santos,0.0,0,0,0,0.0,9999,0.0,FA,-4.09139772874164
Free Agent,Matt Carasiti,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dakota Hawkins,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jesse Wainscott,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,TJ Shook,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,James Ellwanger,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Carlos Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Craig Brooks,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Konnor Ash,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Agnos,6.61,36,0,6,1.51,926,0.0,FA,-15.34
Free Agent,Will Bednar,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alexander Hermeling,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jonah Tong,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cade Austin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Sean Poppen,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Roman Phansalkar,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Logan Webb,3.45,183,21,0,1.29,64,0.0,FA,29.0
Free Agent,Chance Huff,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luke Eubank,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jack Dashwood,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jaden Woods,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Roki Sasaki,3.49,59,5,1,1.24,660,0.0,FA,-6.05
Free Agent,Sean Hunley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dylan Heid,0.0,0,0,0,0.0,9999,0.0,FA,8.07886316114396
